"Title","Alt_Title","CCLI_Number","Credits","Content","Length_Mins","Is_Numbered","Runsheet_Title_Format","Handout_Title_Format","Show_in_handout"
"10,000 Reasons ","Bless the Lord",6016351,"Jonas Myrin & Matt Redman
? 2011 Said And Done Music (Admin. by Crossroad Distributors Pty. Ltd.)sixsteps Music (Admin. by Crossroad Distributors Pty. Ltd.)Thankyou Music (Admin. by Crossroad Distributors Pty. Ltd.)worshiptogether.com songs (Admin. by Crossroad Distributors Pty. Ltd.)SHOUT! Music Publishing",,3,"Y",,,1
"In Christ Alone",,3350395,"Keith Getty & Stuart Townend
? 2001 Thankyou Music (Admin. by Crossroad Distributors Pty. Ltd.)",,3,"Y",,,1
"My Chains Are Gone","Amazing Grace",4768151,"Chris TomlinJohn NewtonLouie Giglio
? 2006 sixsteps Music (Admin. by Crossroad Distributors Pty. Ltd.)Vamos Publishing (Admin. by Crossroad Distributors Pty. Ltd.)worshiptogether.com songs (Admin. by Crossroad Distributors Pty. Ltd.)",,3,"Y",,,1
"Cornerstone","My hope is built on nothing less",6158927,"Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury
? 2011 Hillsong Music Publishing",,3,"Y",,,1
"Blessed be your name",,3798438,"Matt Redman & Beth Redman
? 2002 Thankyou Music (Admin. by Crossroad Distributors Pty. Ltd.)",,3,"Y",,,1
"Shine Jesus Shine",,30426,"Graham Kendrick
? 1987 Make Way Music (Admin. by CopyCare Pacific Pty. Ltd.)",,3,"Y",,,1
"Shout to the Lord",,1406918,"Darlene Zschech
? 1993 Wondrous Worship (Admin. by Music Services, Inc.)",,3,"Y",,,1
"How deep the Father's love for us",,1558110,"Stuart Townend
? 1995 Thankyou Music (Admin. by Crossroad Distributors Pty. Ltd.)",,3,"Y",,,1
"Our God","Our God Is Greater",5677416,"Chris Tomlin, Jesse Reeves, Jonas Myrin, Matt Redman
? 2010 Said And Done Music (Admin. by Crossroad Distributors Pty. Ltd.)sixsteps Music (Admin. by Crossroad Distributors Pty. Ltd.)Thankyou Music (Admin. by Crossroad Distributors Pty. Ltd.)Vamos Publishing (Admin. by Crossroad Distributors Pty. Ltd.)worshiptogether.com songs (Admin. by Crossroad Distributors Pty. Ltd.)SHOUT! Music Publishing
Catalog info",,3,"Y",,,1
"Here I am to worship","Light Of The World You Stepped Down Into Darkness",3266032,"Tim Hughes
? 2000 Thankyou Music (Admin. by Crossroad Distributors Pty. Ltd.)
",,3,"Y",,,1
